"adult","backdrop_path","id","original_language","original_title","overview","popularity","poster_path","release_date","title","video","vote_average","vote_count","genre_Drama","genre_Romance","genre_Adventure","genre_Comedy","genre_Action","genre_War","genre_Documentary","genre_Music","genre_Crime","genre_Western","genre_History","genre_Thriller","genre_Science Fiction","genre_Fantasy","genre_Horror","genre_Animation","genre_Mystery","genre_Family","genre_TV Movie"
FALSE,"/x0IMkJayrCl014Jyar0sRxlZFs6.jpg",84214,"en","Come Back, Little Sheba","A mismatched couple's marital problems come to the surface when the husband develops an interest in their pretty boarder.",5.091,"/g26npVWGZLLp67vDd7q5aiSFXCE.jpg","1952-12-24","Come Back, Little Sheba",FALSE,7.3,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"/15HEZcSKtLcl69avXfmjoIJBuay.jpg",940,"en","The Lady Vanishes","On a train headed for England a group of travelers is delayed by an avalanche. Holed up in a hotel in a fictional European country, young Iris befriends elderly Miss Froy. When the train resumes, Iris suffers a bout of unconsciousness and wakes to find the old woman has disappeared. The other passengers ominously deny Miss Froy ever existed, so Iris begins to investigate with another traveler and, as the pair sleuth, romantic sparks fly.",10.627,"/c1t9LB76LvEARPanfEzXmkm7fwY.jpg","1938-10-07","The Lady Vanishes",FALSE,7.442,915,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
FALSE,"/i2kunv539oNBMXN5bVCwDBHNwEy.jpg",93775,"en","The Member of the Wedding","Tomboy, Frances 'Frankie' Addams, dreams of running away with her brother and new fiancée away from the Deep South.",3.567,"/i1QymzFHXx9ZKbqqNayuzmUHRIo.jpg","1952-12-25","The Member of the Wedding",FALSE,6.2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"/jliwdbenSCvfkAJiXmNGJ25NRpa.jpg",65787,"en","With a Song in My Heart","Jane Froman (Susan Hayward), an aspiring songstress, lands a job in radio with help from pianist Don Ross (David Wayne), whom she later marries. Jane's popularity soars, and she leaves on a European tour... but her plane crashes in Lisbon, and she is partially crippled. Unable to walk without crutches, Jane nevertheless goes on to entertain the Allied troops in World War II.",1.707,"/ukUDE4agso8WDjGeTKkjH6FqS6V.jpg","1952-04-03","With a Song in My Heart",FALSE,5.9,15,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FALSE,"/rJghNsjhYcrJy2AW9y7aZ9yC1Lj.jpg",872,"en","Singin' in the Rain","In 1927 Hollywood, a silent film production company and cast make a difficult transition to sound.",22.571,"/w03EiJVHP8Un77boQeE7hg9DVdU.jpg","1952-04-09","Singin' in the Rain",FALSE,8.2,3128,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"/8A7Xmpsaph7xOlcsqtXs53ieYWM.jpg",43358,"en","Carrie","Carrie's dreams of adventure in the big city are quickly squashed as she discovers all that awaits her there is a bleak life of grueling and poorly paid factory work—that is, until a traveling salesman named Drouet steps into her life and changes her outlook.",3.086,"/1ktAMcQ91sSayT9gZu9208JKNUE.jpg","1952-07-17","Carrie",FALSE,6.4,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"/zyO6j74DKMWfp5snWg6Hwo0T3Mz.jpg",548,"ja","羅生門","Brimming with action while incisively examining the nature of truth, ""Rashomon"" is perhaps the finest film ever to investigate the philosophy of justice. Through an ingenious use of camera and flashbacks, Kurosawa reveals the complexities of human nature as four people recount different versions of the story of a man's murder and the rape of his wife.",23.129,"/vL7Xw04nFMHwnvXRFCmYYAzMUvY.jpg","1950-08-26","Rashomon",FALSE,8.075,2213,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
FALSE,"/b7JozC8zQE9P5Uj485EuqwhAics.jpg",16618,"en","Hans Christian Andersen","A small-town shoemaker with a knack for spinning yarns, Hans encounters happiness and heartbreak on his road to becoming a full-fledged writer.",6.582,"/auHA8xsD452GDCY2KdHGgYPmDPf.jpg","1952-12-19","Hans Christian Andersen",FALSE,6.238,65,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
FALSE,"/clio53Iv7OdBEo5agDOZlsMrKLQ.jpg",185197,"en","The Merry Widow","Marshovia, a small European kingdom, is on the brink of bankruptcy but the country may be saved if the wealthy American Crystal Radek, widow of a Marshovian, can be convinced to part with her money and marry the king's nephew count Danilo. Arriving to Marshovia on a visit, Crystal Radek change places with her secretary Kitty. Following them to Paris, Danilo has a hard time wooing the widow after meeting an attractive young woman at a nightclub, the same Crystal Radek who presents herself as Fifi the chorus girl. Plot by Mattias Thuresson.",5.663,"/7Uu7F30ZnQVY6f6JuotYLjFhyPh.jpg","1952-09-05","The Merry Widow",FALSE,5.8,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FALSE,"/nCti5gQlYntnXVV9CoxrkNGYgUZ.jpg",4460,"en","The Snows of Kilimanjaro","Writer Harry Street reflects on his life as he lies dying from an infection while on safari in the shadow of Mount Kilimanjaro.",7.086,"/xIdEt2rycY6h3QAKGqWrIGqhviD.jpg","1952-10-08","The Snows of Kilimanjaro",FALSE,5.9,90,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,NA,149258,"en","Navajo","A young Navajo Indian boy is caught up in the conflict of cultures when he rejects the white man's school. Told in semi-documentary style.  Preserved by the Academy Film Archive in 2012.",0.743,"/lFwaO3ujj2K0vZnaBfQMzWsQgSD.jpg","1952-02-12","Navajo",FALSE,5,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FALSE,"/pKAq05IpPBoO6B6xmhiLoCvPCGD.jpg",26175,"en","Ivanhoe","Sir Walter Scott's classic story of the chivalrous Ivanhoe who joins with Robin of Locksley in the fight against Prince John and for the return of King Richard the Lionheart.",12.234,"/2Se7dafuvchdSr6vdZ5L0DXsYWv.jpg","1952-07-31","Ivanhoe",FALSE,6.777,175,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FALSE,"/wWO1oD6O1ytXKNQEBOsjRGyscvu.jpg",43189,"en","Million Dollar Mermaid","After overcoming polio, Annette Kellerman achieves fame and creates a scandal when her one-piece bathing suit is considered indecent.",3.018,"/gAlf70ugFbhFfwAyF2LYoohFFTv.jpg","1952-12-04","Million Dollar Mermaid",FALSE,6.4,23,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FALSE,"/tBJc9qiB5wAV071VJYaOirA7mdB.jpg",61430,"en","Affair in Trinidad","A nightclub singer enlists her brother-in-law to track down her husband's killer.",5.955,"/osRNszY1Adrq28K06mWQID9EnLC.jpg","1952-07-29","Affair in Trinidad",FALSE,6.3,50,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
FALSE,"/qSzk59lcblHMxd4OqRAZB2qdroL.jpg",27191,"en","The Greatest Show on Earth","To ensure a full profitable season, circus manager Brad Braden engages The Great Sebastian, though this moves his girlfriend Holly from her hard-won center trapeze spot. Holly and Sebastian begin a dangerous one-upmanship duel in the ring, while he pursues her on the ground.",12.882,"/cKI0yGPRh1IlvRKKJRoMZruior8.jpg","1952-02-16","The Greatest Show on Earth",FALSE,6.31,247,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,"/e0MsKelKuPRh4kSTmmnrsxRk1iT.jpg",59087,"en","5 Fingers","During WWII, the valet to the British Ambassador to Ankara sells British secrets to the Germans while trying to romance a refugee Polish countess.",8.643,"/bjD5qcUGjQIZUAeyMJBnXDuN6SW.jpg","1952-02-22","5 Fingers",FALSE,7.558,86,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FALSE,NA,242985,"en","Devil Take Us","A motorcycle cop buys a used car to take his family on vacation to the East Coast. Minor car trouble along the way causes him to meet first a reckless driver, and then a highway patrolman who shares stories of bad drivers with him. Various dangers of careless driving - both fictional and real - are depicted as the patrolman continues on the job, later crossing paths with the reckless driver again. When the police officer makes the return trip from his vacation, he finds that the situation has changed in a surprising way.",0.036,"/h7rtn82fndgSRSiVv4OjEIZoyix.jpg","1952-02-22","Devil Take Us",FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALSE,NA,243000,"en","Man Alive!","This Oscar-nominated documentary short is from the American Cancer Society. Ed ignores his car problems and then fixes it without using a good mechanic. He also ignores stomach problems. Will he go to a doctor? Is it cancer?",0.436,"/idLhdQKpI7t5hVSkps6stnNmLxI.jpg","1952-02-27","Man Alive!",FALSE,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FALSE,"/2dCoRMN3PU7UjZpjfnaSAghLrVM.jpg",51406,"en","Neighbours","In this Oscar-winning short film, Norman McLaren employs the principles normally used to put drawings or puppets into motion to animate live actors. The story is a parable about two people who come to blows over the possession of a flower.",5.328,"/ccpiARQxBBWaL2Ik8ke9yjq7qrM.jpg","1952-01-01","Neighbours",FALSE,7.514,108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FALSE,"/obpWJjQL7E8XEC68eLy8lE5USLr.jpg",71243,"en","Flat Top","A rock hard commander trains Navy Carrier Pilots during the Second World War",0.99,"/qJx8KBHJaTfPbH9hdFVrFZzV4Nb.jpg","1952-10-26","Flat Top",FALSE,4,11,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
